description,color,dmc_code,keywords,brand
Absinthe,#f9c15b,725,"[yellow,topaz]",weeksDyeWorks
Adobe,#be5c4b,356,"[terra cotta,red,brown]",weeksDyeWorks
Amber,#7c82b5,793,[blue],weeksDyeWorks
Americana,#002a64,312,"[blue,dark blue]",weeksDyeWorks
Amethyst,#5e0f77,327,"[purple,violet]",weeksDyeWorks
Angel Hair,#fdae3c,742,"[orange,tangerine]",weeksDyeWorks
Artichoke,#959f7a,523,"[green,light green]",weeksDyeWorks
Autumn Leaves,#ec8f43,977,"[brown,gold]",weeksDyeWorks
Baked Apple,#792631,221,[],weeksDyeWorks
Banana Popsicle,#fcf6b6,3078,"[yellow,gold]",weeksDyeWorks
Bashful,#284779,824,"[dark blue,blue]",weeksDyeWorks
Battleship,#6d6469,317,"[gray,grey,silver]",weeksDyeWorks
Beehive,#6b5039,610,"[brown,drab brown]",weeksDyeWorks
Beige,#fd6f1a,740,"[orange,tangerine]",weeksDyeWorks
Bermuda,#52adab,597,"[turquoise,green]",weeksDyeWorks
Blackberry,#c62a53,601,"[red,cranberry]",weeksDyeWorks
Blaze,#c63117,900,"[red,orange]",weeksDyeWorks
Blue Aster,#52adab,598,"[green,turquoise]",weeksDyeWorks
Blue Bonnet,#4e5ca7,798,[blue],weeksDyeWorks
Blue Heron,#93a0af,932,[blue],weeksDyeWorks
Blue Jeans,#667684,931,"[blue,gray,grey]",weeksDyeWorks
Blue Spruce,#49523c,3362,"[green,pine]",weeksDyeWorks
Bluecoat Red,#be444a,3328,"[red,salmon]",weeksDyeWorks
Bordeaux,#79263b,3685,"[mauve,red,maroon]",weeksDyeWorks
Boysenberry,#79263b,3685,"[mauve,red,maroon]",weeksDyeWorks
Brick,#792631,221,[],weeksDyeWorks
Bright Leaf,#8f5332,434,"[brown,light brown]",weeksDyeWorks
Bubble Gum,#ed5d84,603,"[pink,cranberry]",weeksDyeWorks
Bullfrog,#bb9c54,734,"[green,gold,olive green]",weeksDyeWorks
Busy Lizzie,#dc7c86,3688,"[mauve,rose,pink]",weeksDyeWorks
Butter Bean,#8e9b6d,3364,"[green,pine green]",weeksDyeWorks
Butterscotch,#daa26f,437,"[tan,brown]",weeksDyeWorks
Camelia,#dc7c86,3688,"[mauve,rose,pink]",weeksDyeWorks
Candy Apple,#a10c39,304,[],weeksDyeWorks
Cantaloupe,#f78372,352,"[coral,pink]",weeksDyeWorks
Cape Cod,#970b2c,498,"[red,dark red]",weeksDyeWorks
Caper,#383a2a,935,[dark green],weeksDyeWorks
Caribbean,#42b59e,992,"[aqua,green]",weeksDyeWorks
